# wavelength_um	value
3.64963504	3.86806360e-01
3.64968717	3.86143940e-01
3.64973931	3.86338350e-01
3.64979145	3.85630390e-01
3.64984359	3.85428720e-01
3.64989573	3.86205790e-01
3.64994787	3.83943080e-01
3.65000002	3.86620290e-01
3.65005216	3.87686060e-01
3.65010430	3.85364440e-01
3.65015645	3.87755500e-01
3.65020859	3.87379530e-01
3.65026074	3.87651190e-01
3.65031288	3.86542740e-01
3.65036503	3.20531620e-01
3.65041718	3.87332030e-01
3.65046933	3.87698310e-01
3.65052148	3.87475970e-01
3.65057363	3.85974380e-01
3.65062578	3.85743270e-01
3.65067793	3.86131690e-01
3.65073008	3.85260250e-01
3.65078224	3.86865760e-01
3.65083439	3.81291940e-01
3.65088655	3.57239760e-01
3.65093870	3.87322600e-01
3.65099086	3.87539150e-01
3.65104301	3.86015170e-01
3.65109517	3.86873510e-01
3.65114733	3.87231370e-01
3.65119949	3.86886860e-01
3.65125165	3.25682790e-01
3.65130381	3.83113560e-01
3.65135597	3.86776510e-01
3.65140813	3.86642310e-01
3.65146030	3.87130920e-01
3.65151246	3.87119380e-01
3.65156463	3.85891250e-01
3.65161679	3.84474230e-01
3.65166896	3.85206060e-01
3.65172112	3.86354560e-01
3.65177329	3.87006740e-01
3.65182546	3.87383010e-01
3.65187763	3.87397350e-01
3.65192980	3.87472610e-01
3.65198197	3.87204530e-01
3.65203414	3.75343780e-01
3.65208631	3.86281770e-01
3.65213848	3.84689200e-01
3.65219066	3.24281670e-01
3.65224283	3.86240870e-01
3.65229501	3.87296300e-01
3.65234718	3.87294950e-01
3.65239936	3.86977100e-01
3.65245154	3.86995130e-01
3.65250371	3.87031110e-01
3.65255589	3.87124990e-01
3.65260807	3.87048760e-01
3.65266025	3.86930670e-01
3.65271243	3.86945580e-01
3.65276461	3.87045460e-01
3.65281680	3.86985470e-01
3.65286898	3.86935210e-01
3.65292116	3.86804580e-01
3.65297335	3.86615760e-01
3.65302553	3.86393910e-01
3.65307772	3.73681610e-01
3.65312991	3.40734830e-01
3.65318209	3.86286110e-01
3.65323428	3.85352210e-01
3.65328647	3.73725490e-01
3.65333866	3.86241880e-01
3.65339085	3.86472400e-01
3.65344304	3.86534050e-01
3.65349523	3.86644190e-01
3.65354743	3.86761190e-01
3.65359962	3.86848300e-01
3.65365181	3.86697260e-01
3.65370401	3.86673370e-01
3.65375621	3.86643010e-01
3.65380840	3.86732180e-01
3.65386060	3.86436870e-01
3.65391280	3.86804450e-01
3.65396500	3.86686670e-01
3.65401720	3.32624180e-01
3.65406940	3.86692950e-01
3.65412160	3.87019700e-01
3.65417380	3.86991970e-01
3.65422600	3.86593240e-01
3.65427821	3.86889880e-01
3.65433041	3.86952070e-01
3.65438261	3.86660340e-01
3.65443482	3.86389740e-01
3.65448703	3.86934760e-01
3.65453923	3.87050740e-01
3.65459144	3.82425700e-01
3.65464365	3.86903450e-01
3.65469586	3.87038140e-01
3.65474807	3.86963320e-01
3.65480028	3.86924120e-01
3.65485249	3.86884710e-01
3.65490470	3.66527230e-01
3.65495691	3.56368420e-01
3.65500913	3.86791890e-01
3.65506134	3.86825920e-01
3.65511356	3.86816900e-01
3.65516577	3.84757450e-01
3.65521799	3.86192120e-01
3.65527021	3.86206670e-01
3.65532243	3.86601130e-01
3.65537464	3.86630050e-01
3.65542686	3.86624180e-01
3.65547908	3.86091600e-01
3.65553131	3.85516620e-01
3.65558353	3.86079850e-01
3.65563575	3.86397360e-01
3.65568797	3.86372870e-01
3.65574020	3.86291270e-01
3.65579242	3.86019770e-01
3.65584465	3.39595770e-01
3.65589688	3.86221750e-01
3.65594910	3.86305830e-01
3.65600133	3.86265120e-01
3.65605356	3.86307190e-01
3.65610579	3.86495320e-01
3.65615802	3.86553120e-01
3.65621025	3.86286030e-01
3.65626248	3.85981180e-01
3.65631471	3.86675830e-01
3.65636695	3.86571940e-01
3.65641918	3.86588950e-01
3.65647141	3.86327430e-01
3.65652365	3.86579470e-01
3.65657588	3.86643560e-01
3.65662812	3.86669530e-01
3.65668036	3.86529560e-01
3.65673260	3.43954950e-01
3.65678484	3.85867400e-01
3.65683708	3.86263150e-01
3.65688932	3.86223980e-01
3.65694156	3.86272510e-01
3.65699380	3.86229740e-01
3.65704604	3.86231350e-01
3.65709829	3.86188300e-01
3.65715053	3.86178710e-01
3.65720278	3.86147840e-01
3.65725502	3.85783440e-01
3.65730727	3.86137340e-01
3.65735952	3.86123600e-01
3.65741176	3.86111030e-01
3.65746401	3.85965320e-01
3.65751626	3.86199840e-01
3.65756851	3.86169910e-01
3.65762076	3.83044810e-01
3.65767301	3.49651490e-01
3.65772527	3.83648000e-01
