# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue May 26 06:38:48 2026
# Radiative transfer took 1.438 seconds
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2  Rayleigh CIA
2.430000000e+03 9.67838e-01 9.78724e-01 1.00000e+00 9.99989e-01 1.00000e+00 9.99983e-01 9.92145e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430008100e+03 9.57389e-01 9.73838e-01 1.00000e+00 9.99997e-01 1.00000e+00 9.99969e-01 9.86361e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430016200e+03 9.40750e-01 9.71862e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99950e-01 9.71211e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430024300e+03 9.43853e-01 9.75428e-01 1.00000e+00 9.99991e-01 1.00000e+00 9.99953e-01 9.70849e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430032400e+03 9.62389e-01 9.80811e-01 1.00000e+00 9.99979e-01 1.00000e+00 9.99971e-01 9.84478e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430040500e+03 9.72801e-01 9.85246e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99983e-01 9.90621e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430048600e+03 9.78986e-01 9.88308e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01 9.93824e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430056701e+03 9.82387e-01 9.90338e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99993e-01 9.95230e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430064801e+03 9.83865e-01 9.91691e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99995e-01 9.95366e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430072901e+03 9.85211e-01 9.92610e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 9.95803e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430081001e+03 9.86625e-01 9.93244e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 9.96595e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430089101e+03 9.87289e-01 9.93684e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 9.96824e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430097202e+03 9.87892e-01 9.93983e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99998e-01 9.97133e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430105302e+03 9.88267e-01 9.94174e-01 1.00000e+00 9.99998e-01 1.00000e+00 9.99998e-01 9.97320e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
